SensorID,Timestamp,ReadingValue
2,2020-01-03 19:30:00+00:00,121.66
2,2020-01-03 20:00:00+00:00,127.69
2,2020-01-03 20:30:00+00:00,126.71
2,2020-01-03 21:00:00+00:00,127.14
2,2020-01-03 21:30:00+00:00,126.77
2,2020-01-03 22:00:00+00:00,121.04
2,2020-01-03 22:30:00+00:00,120.24
2,2020-01-03 23:00:00+00:00,120.47
2,2020-01-03 23:30:00+00:00,121.53
1,2020-01-04 00:00:00+00:00,150.52
1,2020-01-04 00:30:00+00:00,151.61
1,2020-01-04 01:00:00+00:00,152.05
1,2020-01-04 01:30:00+00:00,150.55
1,2020-01-04 02:00:00+00:00,144.93
1,2020-01-04 02:30:00+00:00,139.17
1,2020-01-04 03:00:00+00:00,138.89
1,2020-01-04 03:30:00+00:00,138.59
1,2020-01-04 04:00:00+00:00,139.07
1,2020-01-04 04:30:00+00:00,139.53
1,2020-01-04 05:00:00+00:00,147.33
1,2020-01-04 05:30:00+00:00,151.4
1,2020-01-04 06:00:00+00:00,148.37
1,2020-01-04 06:30:00+00:00,149.24
1,2020-01-04 07:00:00+00:00,153.41
1,2020-01-04 07:30:00+00:00,155.32
1,2020-01-04 08:00:00+00:00,155.32
1,2020-01-04 08:30:00+00:00,155.32
1,2020-01-04 09:00:00+00:00,155.32
1,2020-01-04 09:30:00+00:00,161.52
2,2020-01-04 10:00:00+00:00,160.49
2,2020-01-04 10:30:00+00:00,161.73
2,2020-01-04 11:00:00+00:00,161.8
2,2020-01-04 11:30:00+00:00,162.08
2,2020-01-04 12:00:00+00:00,165.09
2,2020-01-04 12:30:00+00:00,161.13
2,2020-01-04 13:00:00+00:00,165.35
2,2020-01-04 13:30:00+00:00,165.35
2,2020-01-04 14:00:00+00:00,165.35
2,2020-01-04 14:30:00+00:00,164.48
2,2020-01-04 15:00:00+00:00,165.35
2,2020-01-04 15:30:00+00:00,165.35
2,2020-01-04 16:00:00+00:00,165.35
2,2020-01-04 16:30:00+00:00,165.35
2,2020-01-04 17:00:00+00:00,165.35
2,2020-01-04 17:30:00+00:00,132.78
2,2020-01-04 18:00:00+00:00,167.3
2,2020-01-04 18:30:00+00:00,193.33
2,2020-01-04 19:00:00+00:00,191.03
2,2020-01-04 19:30:00+00:00,191.06
2,2020-01-04 20:00:00+00:00,162.77
2,2020-01-04 20:30:00+00:00,162.77
2,2020-01-04 21:00:00+00:00,132.52
2,2020-01-04 21:30:00+00:00,165.35
2,2020-01-04 22:00:00+00:00,164.01
2,2020-01-04 22:30:00+00:00,163.57
2,2020-01-04 23:00:00+00:00,158.51
2,2020-01-04 23:30:00+00:00,158.64
1,2020-01-05 00:00:00+00:00,157.19
1,2020-01-05 00:30:00+00:00,152.87
1,2020-01-05 01:00:00+00:00,150.79
1,2020-01-05 01:30:00+00:00,140.18
1,2020-01-05 02:00:00+00:00,139.46
1,2020-01-05 02:30:00+00:00,129.01
1,2020-01-05 03:00:00+00:00,129.01
1,2020-01-05 03:30:00+00:00,128.94
1,2020-01-05 04:00:00+00:00,140.1
1,2020-01-05 04:30:00+00:00,148.29
1,2020-01-05 05:00:00+00:00,151.75
1,2020-01-05 05:30:00+00:00,149.54
1,2020-01-05 06:00:00+00:00,153.54
1,2020-01-05 06:30:00+00:00,165.01
1,2020-01-05 07:00:00+00:00,141.26
1,2020-01-05 07:30:00+00:00,137.93
1,2020-01-05 08:00:00+00:00,143.72
1,2020-01-05 08:30:00+00:00,144.46
1,2020-01-05 09:00:00+00:00,143.62
1,2020-01-05 09:30:00+00:00,141.45
2,2020-01-05 10:00:00+00:00,138.85
2,2020-01-05 10:30:00+00:00,138.66
