SensorID,Timestamp,daily_avg,diff,trend
3,2020-03-14 00:00:00+00:00,139.94854166666667,3.7354166666666515,1
3,2020-03-15 00:00:00+00:00,134.95541666666665,-4.9931250000000205,-1
3,2020-03-16 00:00:00+00:00,130.04895833333333,-4.906458333333319,-1
3,2020-03-17 00:00:00+00:00,147.38583333333335,17.33687500000002,1
3,2020-03-18 00:00:00+00:00,128.670625,-18.71520833333335,-1
3,2020-03-19 00:00:00+00:00,130.88625,2.2156249999999886,1
3,2020-03-20 00:00:00+00:00,143.14604166666666,12.259791666666672,1
3,2020-03-21 00:00:00+00:00,171.54229166666667,28.39625000000001,1
3,2020-03-22 00:00:00+00:00,133.255625,-38.28666666666666,-1
3,2020-03-23 00:00:00+00:00,123.37979166666668,-9.875833333333333,-1
3,2020-03-24 00:00:00+00:00,124.02020833333334,0.6404166666666669,1
3,2020-03-25 00:00:00+00:00,120.6475,-3.3727083333333496,-1
3,2020-03-26 00:00:00+00:00,129.97479166666668,9.327291666666682,1
3,2020-03-27 00:00:00+00:00,117.70104166666664,-12.273750000000035,-1
3,2020-03-28 00:00:00+00:00,118.89166666666668,1.1906250000000398,1
3,2020-03-29 00:00:00+00:00,125.36958333333332,6.477916666666644,1
3,2020-03-31 00:00:00+00:00,111.51729166666668,-13.852291666666645,-1
